filename,category,corpus,length,truth_ref_id,source_offset_sec,expected_verdict,notes
saraga_in_library/01_hindustani_1s_hindustani_t0046_q0.wav,in_library,hindustani,1s,hindustani_44_Raag_Abhogi,318.604,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/02_hindustani_5s_hindustani_t0015_q0.wav,in_library,hindustani,5s,hindustani_16_Raag_Puriya_Dhanashree,70.62,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/03_hindustani_5s_hindustani_t0061_q2.wav,in_library,hindustani,5s,hindustani_59_Bairagi,444.161,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/04_hindustani_1s_hindustani_t0016_q3.wav,in_library,hindustani,1s,hindustani_17_Raag_Miyan_Malhar,354.393,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/05_hindustani_10s_hindustani_t0053_q4.wav,in_library,hindustani,10s,hindustani_51_Raag_Bairagi,2079.424,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/06_hindustani_1s_hindustani_t0091_q3.wav,in_library,hindustani,1s,hindustani_92_Raag_Sooha_Kanada,637.789,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/07_hindustani_3s_hindustani_t0093_q4.wav,in_library,hindustani,3s,hindustani_94_Raag_Hindol_Pancham,590.793,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/08_hindustani_5s_hindustani_t0038_q3.wav,in_library,hindustani,5s,hindustani_37_Raag_Shree,2636.625,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/09_hindustani_1s_hindustani_t0094_q3.wav,in_library,hindustani,1s,hindustani_95_Raag_Basanti_Kedar,657.882,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/10_hindustani_5s_hindustani_t0057_q4.wav,in_library,hindustani,5s,hindustani_55_Majh_Khamaj_Thumri,254.244,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/11_hindustani_5s_hindustani_t0011_q1.wav,in_library,hindustani,5s,hindustani_12_Raag_Yaman,116.894,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/12_hindustani_10s_hindustani_t0010_q0.wav,in_library,hindustani,10s,hindustani_11_Raag_Marwa,70.975,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/13_hindustani_3s_hindustani_t0009_q2.wav,in_library,hindustani,3s,hindustani_10_Raag_Lalit,184.326,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/14_hindustani_3s_hindustani_t0032_q3.wav,in_library,hindustani,3s,hindustani_31_Raag_Yaman,710.874,MATCH or HIGH (in library),"Saraga query cut, length=3s"
